freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP021,PM,FI	: 	21 	19 	19 	17 	16 	14 
A,DEG1,CP021,PM,FR	18 	: 	14 	13 	12 	12 	12 e
A,DEG1,CP021,PM,HR	: 	: 	: 	11 	10 	8 	8 
A,DEG1,CP021,PM,HU	: 	: 	: 	12 	9 	13 	10 
A,DEG1,CP021,PM,IE	: 	: 	60 	: 	16 	14 	13 
A,DEG1,CP021,PM,IT	15 	11 	9 	: 	9 	8 	10 
A,DEG1,CP021,PM,LT	: 	: 	: 	23 	20 	18 	15 
A,DEG1,CP021,PM,LU	17 	: 	13 	12 	10 	8 	10 
A,DEG1,CP021,PM,LV	: 	: 	: 	18 	17 	18 	14 
A,DEG1,CP021,PM,MT	: 	: 	: 	: 	7 	8 	8 e
A,DEG1,CP021,PM,NL	: 	: 	: 	: 	12 	13 	13 
A,DEG1,CP021,PM,NO	: 	: 	: 	20 	18 	18 	17 
A,DEG1,CP021,PM,PL	: 	: 	: 	10 	11 	12 	16 
A,DEG1,CP021,PM,PT	19 	11 	11 	7 	7 	7 	: 
A,DEG1,CP021,PM,RO	: 	: 	: 	: 	: 	10 	: 
A,DEG1,CP021,PM,SE	: 	20 	24 	13 	15 	14 	: 
A,DEG1,CP021,PM,SI	: 	: 	: 	9 	9 	8 	7 
A,DEG1,CP021,PM,SK	: 	: 	: 	13 	13 	12 	14 
A,DEG1,CP021,PM,UK	12 	17 	14 	13 	16 	16 	: 
A,DEG1,CP021,PM,XK	: 	: 	: 	: 	: 	2 	: 
A,DEG1,CP0211,PM,EEA28	: 	: 	: 	: 	3 u	: 	: 
A,DEG1,CP0211,PM,EEA30_2007	: 	: 	: 	: 	3 u	: 	: 
A,DEG1,CP0211,PM,EFTA	: 	: 	: 	: 	3 u	: 	: 
A,DEG1,CP0211,PM,NO	: 	: 	: 	: 	3 	: 	: 
A,DEG1,CP0212,PM,EEA28	: 	: 	: 	: 	8 u	: 	: 
